Legend:,Completed,Cooking,Different Weapon,Dungeons/Towers,Entertainment Industry,Evil/Villain,Family,Female MC,Game,Isekai,Kingdom/World Building,Medical,Medieval Fantasy,Modern World Cheat,Murim,Necromancer,Non-Human,Regression,Reincarnation,Returnee,Revenge,School,Side Character/Extra,Skill Taking,Sports,Sword/Magic Academy,Unique Cheat System,Zombies
(D) - Decent,3CM Hunter (+100) (G),"Leveling Up, By Only Eating! (+100) (G)",Reaper of the Drifting Moon (-100) (R),I'll Be Taking a Break for Personal Reasons (-100) (G),Once Again Idol (-100) (G),Hero Killer (-100) (R),Spirit Farmer (+100) (R),Ashen Oreum (-100) (G),Hyper Luck (-100) (D),Is this Hero for Real? (-100) (G),Overgeared (+100) (R),Trauma Center (-100) (R),Youngest Scion of the Mages (-100) (D),System Rules (-100) (G),Martial Wild West (-100) (R),Reincarnation of the Murim Clan's Former Ranker (-100) (G),Skeleton Soldier Couldn't Protect the Dungeon (+100) (R),Cursed Manager’s Regression (-100) (D),Never Die Extra (-100) (D),Hero Has Returned (-100) (R),Return of the SSS-Class Ranker (-100) (D),The Bully In-Charge (-100) (R),I Have Max Level Luck (-100) (G),Hero Killer (-100) (R),Golden Waltz (-100) (G),The Novel's Extra (Remake) (-100) (R),The Novel's Extra (Remake) (-100) (R),Undead (-100) (G)
(M) - Meh,Again My Life (+100) (G),God of Cooking (-100) (D),Barbarian Quest (-100) (R),Warrior Highschool - Dungeon Raid Department (-100) (G),Holy Idol (-100) (G),I Grow Stronger By Eating! (+100) (G),My Superstar Uncle (+100) (G),Intoxicated Butterfly and Cold Moon (-100) (G),Bug Hunter (-100) (D),Regressor Instruction Manual (-100) (R),Dungeon Reset (+100) (R),An Animal Hospital in the Border Area (-100) (G),Archmage Transcending Through Regression (-100) (G),Level-Up Doctor (-100) (G),Champion's Path to Murim (-100) (G),SSS-Class Suicide Hunter (-100) (HR),The Dungeon Master (+100) (D),Return of the SSS-Class Ranker (-100) (D),Martial Wild West (-100) (R),Max Level Returner (+100) (D),I Became a Renowned Family's Sword Prodigy (-100) (M),Switch (-100) (D),The Novel's Extra (Remake) (-100) (R),Book Eater (-100) (G),The Extreme (-100) (G),Transcension Academy (-100) (D),I Became a Renowned Family's Sword Prodigy (-100) (M),Zombie Fight (-100) (R)
,Reincarnated War God (+100) (G),Egret's Restaurant (-100) (G),My Daughter is the Final Boss (-100) (G),Dungeon Odyssey (-100) (G),Second Life Producer (-100) (G),Limitless Abyss (-100) (D),Highschool Lunch Dad (-100) (G),Arachi: The First Irregular (-100) (G),One-of-a-Kind Irregular (-100) (D),FFF-Class Trash Hero (+100) (R),The Story of a Low-Rank Soldier Becoming a Monarch (-100) (R),I'm The Only One with Genius DNA (-100) (G),Never Die Extra (-100) (D),Perfect Surgeon (-100) (G),Death God (-100) (R),Solo Leveling (+100) (C) (R),Brainless Witch (-100) (G),Debut or Die (-100) (R),The Chaebol's Youngest Son (-100) (R),Maxed Out Leveling (-100) (G),Dukedom's Legendary Prodigy (-100) (G),King's Game (-100) (G),Surviving in an Action Manhwa (-100) (R),Tiger's Descent (-100) (M),Winning Shot (-100) (G),I Obtained a Mythic Item (-100) (G),I Obtained a Mythic Item (-100) (G),Rebirth (+100) (R)
,Yongbi (+100) (R),,Is this Hunter for Real? (-100) (G),I Stole the Number One Ranker's Soul (-100) (D),King of Drama (-100) (G),Rooftop Sword Master (-100) (C) (R),Manager Kim (-100) (R),Aire (-100) (G),Leveling Again: The Story of Agaya (-100) (G),Dungeon Reset (+100) (R),Max Level Returner (+100) (D),Genius Doctor Lee Moo-Jin (-100) (G),Helmut: The Forsaken Child (-100) (G),The Definition of a Top Star (-100) (G),Demonic Master of Mount Kunlun (-100) (R),,Dragon Ego (-100) (D),Clever Cleaning Life of the Returned Genius Hunter (-100) (R),Mad Detective (-100) (G),Heavenly Demon Bakery (-100) (G),Legendary Youngest Son of the Marquis House (-100) (D),A Bad Person (-100) (D),The Greatest Estate Designer (-100) (HR),990k Ex-Life Hunter (-100) (M),Perfect Gold (-100) (G),Overpowered Sword (-100) (G),Level-Up Doctor (-100) (G),Return Survival (+100) (C) (R)
Important Note:,Gosu (+100) (R),,Worthless Regression (-100) (G),Auto Hunting with my Clones (-100) (G),"Where Are You Looking, Manager? (-100) (D)",Incompetent Villain (-100) (C) (D),Peerless Dad (+100) (R),Crimson Stone (-100) (G),+99 Wooden Stick (UH) (G),Deadbeat Hero (-100) (G),I Shall Live as a Prince (-100) (C) (R),Dr. Choi Tae-Soo (+100) (G),Standard of Reincarnation (-100) (G),My Superstar Uncle (+100) (G),Youngest Son of the NamGung Clan (-100) (D),,Ice Jade (-100) (D),Heavenly Sword's Grand Saga (-100) (G),Champion's Path to Murim (-100) (G),My Dad is Too Strong (+100) (G),Hero Has Returned (-100) (R),Fight Class 3 (+100) (R),Doctor's Rebirth (-100) (R),All Rounder (-100) (G),Wind Breaker (+100) (HR),Kill The Dragon (-100) (R),Perfect Surgeon (-100) (G),All of Us Are Dead (+100) (C) (R)
Ratings are merely subjective and must not be taken ,The Breaker (-100) (HR),,Return of the Unrivaled Spear Knight (-100) (G),Genius of the Unique Lineage (-100) (G),1st Year Max Level Manager (-100) (G),,Real Man (+100) (R),Dragon Ego (-100) (D),Sleeping Ranker (-100) (D),Survival Story of a Sword King in a Fantasy World (+100) (HR),,A.I Doctor (-100) (G),I Became the Tyrant of a Defense Game (-100) (R),Big Life (+100) (G),I am Reborn as the Sword God (-100) (G),,Olgami (+100) (G),Cheolsu Saves the World (-100) (HR),Demonic Master of Mount Kunlun (-100) (R),,Nano Machine (+100) (R),The Girl from Random Chatting (+100) (R),Regressor Instruction Manual (-100) (R),Ex and Ash (-100) (G),The God of Pro Wrestling (-100) (G),Legendary Youngest Son of the Marquis House (-100) (D),Rescue System (-100) (G),Dead Days (-100) (C) (G)
as it is. They are based on my personal preferences with,The Breaker: New Waves (-100) (HR),,Storm Inn (-100) (G),Cursed Manager’s Regression (-100) (M),My Daughter is a Music Genius (-100) (G),,From the Grave and Back (+100) (G),Wanders of the Ruined (-100) (D),Knight Under Heart (-100) (R),Seoul Station Druid (-100) (D),,Doctor Elise (+100) (C) (G),"Can I, a doctor, save 10 billion lives in another world? (-100) (G)",Rescue System (-100) (G),Demon in Mount Hua (-100) (G),,Our Classmate Sookgyung (-100) (G),Absolute Sword Sense (-100) (G),Standard of Reincarnation (-100) (G),,Return of the Disaster-Class Hero (-100) (G),Weak Hero (+100) (R),Trash of the Count's Family (-100) (R),SSS-Class Suicide Hunter (-100) (HR),Taekwondo Kid (-100) (G),Talent-Swallowing Magician (-100) (G),Kitchen Soldier (-100) (D),My Daughter is a Zombie (-100) (C) (R)
"big factors I considered such as personal enjoyment,",MookHyang - The Origin (-100) (G),,Chronicles of Heavenly Demon (+100) (R),"Player Who Returned 10,000 Years Later (-100) (R)",Movies are Real (-100) (R),,"Mom, I'm Sorry (+100) (C) (HR)",Faust (-100) (D),The Healing Priest of the Sun (-100) (G),Teenage Swordsman (-100) (D),,Medical Return (+100) (C) (R),"Heroes, Demons & Villains (-100) (G)",Kitchen Soldier (-100) (D),Reincarnated Escort Warrior (-100) (G),,Legend of Mir: Gold Armored Sword Dragon (-100) (D),I Obtained a Mythic Item (-100) (G),"Can I, a doctor, save 10 billion lives in another world? (-100) (G)",,Return of the Mount Hua Sect (-100) (HR),To Not Die (-100) (R),Trapped in a Webnovel as a Good-for-Nothing (+100) (G),Nano Machine (+100) (R),Garbage Time (-100) (G),Return of the Unrivaled Spear Knight (-100) (G),I Reincarnated as a Legendary Surgeon (-100) (G),Dreamcide (+100) (C) (R)
"overall story, characters and their development, art,  ",Mujang (+100) (R),,The Story of a Low-Rank Soldier Becoming a Monarch (-100) (R),A Gate Opened on my First Day as a Politician (-100) (G),,,,Fray (-100) (G),Archmage Streamer (-100) (D),How to Live as a Villain (-100) (G),,,The 10th Class Lout of the Knight Family (-100) (M),The Tax Reaper (-100) (G),Reaper of the Drifting Moon (-100) (R),,Uglyhood (-100) (G),Swordmaster's Youngest Son (-100) (G),Debut or Die (-100) (R),,The Dark Magician Transmigrates after 66666 Years (-100) (G),Mercenary Enrollment (+100) (R),Omniscient Reader's Viewpoint (+100) (HR),I Grow Stronger By Eating! (+100) (G),Midnight Chaser (-100) (G),The Great Mage that Returned after 4000 Years (+100) (R),Return of the Shattered Constellation (-100) (G),Zombie Ship (-100) (C) (G)
and some other miscellaneous factors that doesn't influence,Red Storm (+100) (R),,Murim Login (+100) (R),Clever Cleaning Life of the Returned Genius Hunter (-100) (R),,,,Hundred Years Game (-100) (G),Level Berserker (-100) (G),The Live (+100) (D),,,Damn Reincarnation (-100) (G),Youngest Chef from the 3rd Rate Hotel (-100) (G),Who Killed The Murim Lord? (-100) (D),,Transfer Student Oh-Deokgu (-100) (C) (G),I Regressed as the Duke (-100) (M),I am Possessed by the Sword God (-100) (G),,From the Grave and Back (+100) (G),True Education (+100) (R),,The Tutorial Tower of the Advanced Player (+100) (D),Tweener (-100) (G),The Heavenly Demon Destroys the Lich King's Murim (-100) (D),"I Have an SSS-rank Trait, But I want a Normal Life (-100) (M)",
the ratings all that much. Don't be chained by the ratings and,The Sword of Glory (+100) (G),,Lightning Degree (+100) (R),Transcension Academy (-100) (D),,,,I Killed Him (-100) (R),Worn and Torn Newbie (+100) (G),Wizard of Arsenia (-100) (D),,,Newbie Management (-100) (G),Quest Supremacy (-100) (R),Heavenly Sword's Grand Saga (-100) (G),,Noblesse (+100) (C) (R),My Daughter is the Final Boss (-100) (G),Reincarnated Escort Warrior (-100) (G),,Psycho Revenge (-100) (G),How To Fight (+100) (R),,,Fight Class 3 (-100) (R),The Ember Knight (-100) (HR),Archmage Streamer (-100) (D),
learn to explore on your own and you may find some series,Bastard (-100) (HR),,The Tutorial Tower of the Advanced Player (+100) (G),Carnivorous Hunter (-100) (D),,,,I'm the Martial Arts Villainess but I'm the Strongest! (-100) (R),Ranker's Return (Remake) (-100) (G),Androids Have no Blood (-100) (D),,,Overpowered Sword (-100) (G),IRL Quest (-100) (R),Absolute Sword Sense (-100) (G),,Unholy Blood (-100) (C) (R),Treacherous Subject Saves the Country (-100) (G),The 10th Class Lout of the Knight Family (-100) (D),,Reincarnation of the Suicidal Battle God (-100) (R),Study Group (+100) (R),,,Top Corner (-100) (G),Eleceed (+100) (R),Nano Machine (+100) (R),
which you might really like that I gave low ratings on. That's,Sweet Home (+100) (HR),,Arcane Sniper (-100) (D),The Reincarnation of the Forbidden Archmage (-100) (M),,,,The Last Golden Child (-100) (R),Final Boss (-100) (G),New Life: Savior from Another World (-100) (D),,,Academy's Undercover Professor (-100) (R),Movies are Real (-100) (R),Records of the Swordsman Scholar (-100) (G),,Nano List (+100) (C) (R),Heavenly Demon Bakery (-100) (G),Damn Reincarnation (-100) (G),,Return of the Shattered Constellation (-100) (G),Ganzi Monster (-100) (D),,,Hanlim Gym (+100) (R),The Lord's Coins Aren't Decreasing?! (-100) (D),SSS-Class Suicide Hunter (-100) (HR),
pretty much what I have to say and hopefully you find some,Shotgun Boy (+100) (HR),,"Starting Today, I'm a Player (-100) (D)",The Novel's Extra (Remake) (-100) (R),,,,The Queens (-100) (G),Arcane Sniper (-100) (D),Hero has Returned (-100) (R),,,"To Hell with Being a Saint, I'm a Doctor (-100) (G)",I'm The Only One with Genius DNA (-100) (G),Sword Fanatic Wanders Through The Night (-100) (R),,Asura (-100) (C) (G),Worthless Regression (-100) (G),Academy's Undercover Professor (-100) (R),,The Great Mage that Returned after 4000 Years (+100) (R),Quest Supremacy (-100) (R),,,Latent Blue (-100) (G),The Beginning After the End (+100) (R),Limit Breaker (-100) (G),
manhwas enjoyable. Happy reading :),Pigpen (-100) (R),,Seoul Station Druid (-100) (D),The Newbie is Too Strong (-100) (G),,,,Kalsarin (-100) (G),Updater (+100) (G),Player (+100) (HR),,,Ending Maker (-100) (R),"Where Are You Looking, Manager? (-100) (D)",Chronicles of the Martial God's Return (-100) (R),,Blast (-100) (C) (D),Legendary Youngest Son of the Marquis House (-100) (D),"To Hell with Being a Saint, I'm a Doctor (-100) (G)",,Chronicles of Heavenly Demon (+100) (R),Reality Quest (-100) (R),,,The Boxer (+100) (C) (HR),Reformation of the Deadbeat Noble (-100) (R),My Superstar Uncle (+100) (G),
,Leviathan (+100) (HR),,Infinite Level Up in Murim (+100) (HR),I Obtained a Mythic Item (-100) (G),,,,Virtual Reality Action RPG (-100) (D),Ultra Alter (-100) (G),Devil Sword King (+100) (R),,,Dukedom's Legendary Prodigy (-100) (G),Face Genius (-100) (D),The Star of a Supreme Ruler (-100) (D),,Papi Nyang (-100) (C) (G),Physician Return (-100) (D),Ending Maker (-100) (R),,Legend of the Northern Blade (+100) (HR),Guard Pass (-100) (G),,,No Breathing (-100) (C) (G),Jungle Juice (-100) (R),The S-Classes that I Raised (-100) (R),
,Hardcore Leveling Warrior (+100) (R),,Bowblade Spirit (+100) (D),Superhuman Battlefield (-100) (D),,,,Knuckle Girl (-100) (G),Overgeared (+100) (R),MookHyang - Dark Lady (+100) (G),,,Swordmaster's Youngest Son (-100) (G),Cell (-100) (G),Return of the Mount Hua Sect (-100) (HR),,Phantom (-100) (C) (D),Rescue System (-100) (G),Surviving as a Fish (-100) (G),,Return of the Unrivaled Spear Knight (-100) (G),God of Blackfield (+100) (G),,,,Nano Machine (+100) (R),The Max Level Hero has Returned! (+100) (D),
,Efforts Never Betray (-100) (R),,The Second Coming of Gluttony (+100) (D),Is this Hunter for Real? (-100) (G),,,,Pathfinder (-100) (R),The Challenger (-100) (D),Her Summon (+100) (C) (R),,,I Regressed as the Duke (-100) (M),"Anon, I Know You! (-100) (G)",Nano Machine (+100) (R),,Her Hero (-100) (C) (G),The Hero Returns (-100) (D),Dukedom's Legendary Prodigy (-100) (G),,Guard Pass (-100) (G),Top 1% (-100) (G),,,,Lightning Degree (+100) (R),Murim Login (+100) (R),
,Terror Man (+100) (HR),,,"I Have an SSS-rank Trait, But I want a Normal Life (-100) (M)",,,,Zero Game (+100) (G),The Legendary Moonlight Sculptor (+100) (R),The Road to Karma (-100) (C) (D),,,Overbearing Tyrant (-100) (M),The Killer Detective (-100) (G),Wandering Warrior of Wudang (-100) (R),,Wake Up Deadman (-100) (C) (D),Leveling With The Gods (-100) (R),I Regressed as the Duke (-100) (M),,Royal Path (-100) (G),Ssam Bbak (-100) (D),,,,Ygret (-100) (D),Regressor Instruction Manual (-100) (R),
,Her Summon (+100) (R),,,My Daughter is the Final Boss (-100) (G),,,,"Protect Me, Knight (-100) (D)",Please Have a Meal (-100) (G),I Shall Live as a Prince (-100) (C) (R),,,The Lazy Swordmaster (-100) (D),A.I Doctor (-100) (G),Volcanic Age (+100) (R),,Under PRIN (+100) (C) (G),Volcanic Age (+100) (R),Overbearing Tyrant (-100) (M),,Dungeon & Artifacts (-100) (D),"Anon, I Know You! (-100) (G)",,,,Book Eater (-100) (G),FFF-Class Trash Hero (+100) (R),
,Asura (-100) (G),,,The Hero Returns (-100) (D),,,,Goran (-100) (D),Taming Master (-100) (D),,,,Transmigrating to the Otherworld Once More (-100) (G),Lookism (+100) (R),The Return of the Crazy Demon (-100) (HR),,Watch Dog (-100) (C) (G),Worn and Torn Newbie (+100) (G),The Lazy Swordmaster (-100) (D),,The Rebirth of an 8th-Circled Mage (+100) (D),Boss In School (+100) (G),,,,A Returner's Magic Should be Special (+100) (R),Memorize (+100) (G),
,Dark Mortal (-100) (R),,,Street Restaurant of a Returned Hero (-100) (D),,,,The Warrior from the Golden Days (-100) (D),Teenage Swordsman (-100) (D),,,,Return of the Unrivaled Spear Knight (-100) (G),This is the Law (-100) (R),I Reincarnated as the Crazed Heir (-100) (G),,,The Story of a Low-Rank Soldier Becoming a Monarch (-100) (R),Heavenly Demon Bakery (-100) (D),,Burnout Shock (-100) (D),Trigger (-100) (D),,,,The Mortal Assassin (-100) (D),The Lord's Coins Aren't Decreasing?! (-100) (D),
,I Will Die Soon (-100) (HR),,,Leveling Up with Likes (-100) (D),,,,Safe as Houses (-100) (D),"Leveling Up, Only By Eating! (+100) (G)",,,,The Great Mage that Returned after 4000 Years (+100) (R),Genius Doctor Lee Moo-Jin (-100) (G),Strongest Fighter (-100) (D),,,The S-Classes that I Raised (-100) (R),My Civil Servant Life Reborn in the Strange World (-100) (D),,Trigger (-100) (D),Supernova (+100) (G),,,,Shaman (-100) (G),The Greatest Estate Designer (-100) (HR),
,Dreamcide (+100) (R),,,The World after the Fall (-100) (R),,,,Tacit (-100) (G),Virtual RPG (-100) (D),,,,The Max Level Hero has Returned! (+100) (D),1 Second (-100) (G),Shinsu Jeil Sword (+100) (D),,,Return to Player (-100) (G),Wandering Warrior of Wudang (-100) (R),,Fray (-100) (G),Psycho Revenge (-100) (G),,,,Slave B (-100) (C) (D),Solo Bug Player (+100) (D),
,The Greatest Outcast (+100) (G),,,Return of the Disaster-Class Hero (-100) (G),,,,Uglyhood (-100) (G),Life Cry (-100) (R),,,,The Beginning After The End (+100) (R),Highschool Lunch Dad (-100) (R),The Strongest Ever (+100) (D),,,Kill The Hero (+100) (G),The Beginning After The End (+100) (R),,Goran (-100) (D),Highschool Lunch Dad (-100) (R),,,,,Quest Supremacy (-100) (R),
,Distant Sky (+100) (HR),,,Leveling with the Gods (-100) (R),,,,Fight Like a Girl (-100) (C) (G),Undefeated Ranker (-100) (M),,,,Talent-Swallowing Magician (-100) (G),Success Story of the Omnipotent Soldier (-100) (D),Revenge of Young Master Peng (-100) (R),,,Memorize (+100) (G),I Reincarnated as the Legendary Surgeon (-100) (G),,Past Lives of the Thunder God (-100) (D),This World is Money and Power (+100) (R),,,,,Reality Quest (-100) (R),
,I am the Sorcerer King (+100) (G),,,Limit Breaker (-100) (G),,,,Delivery Knight (-100) (C) (G),Double Click (-100) (G),,,,Reincarnation of the Suicidal Battle God (-100) (R),God of Cooking (-100) (D),Murim Login (+100) (R),,,Reincarnation of the Suicidal Battle God (-100) (R),Return of the Mount Hua Sect (-100) (HR),,Legend of Asura - The Venom Dragon (+100) (R),Show me the Lucky-Boss! (-100) (D),,,,,I'm The Only One with Genius DNA (-100) (G),
